Julio Rodriguez,Trea Turner,Aaron Judge,Ronald Acuna Jr.,Shohei Ohtani,Jose Ramirez,Juan Soto,Bobby Witt Jr.,Vladimir Guerrero Jr.,Kyle Tucker,Mookie Betts,Yordan Alvarez,Freddie Freeman,Manny Machado,Mike Trout
Matthew Boyd,Adbert Alzolay,Michael Brantley,Spencer Turnbull,Edward Olivares,Anthony DeSclafani,Stone Garrett,Kutter Crawford,Jose Trevino,Luis Campusano,Jarren Duran,Marco Gonzales,Francisco Mejia,J.P. Crawford,Omar Narvaez
Chas McCormick,Trevor Larnach,Jason Adam,Zach Plesac,Robert Suarez,Yan Gomes,Corey Kluber,John Schreiber,German Marquez,Javier Assad,George Valera,Zac Veen,Ji Hwan Bae,Enrique Hernandez,Stephen Strasburg
Reese McGuire,Victor Robles,Kyle Hendricks,Glenn Otto,Kyle Stowers,James Paxton,Christian Bethancourt,Kyle Muller,Joe Barlow,James Kaprielian,Michael Busch,Spencer Steer,Kyle Farmer,Dane Dunning,A.J. Puk
JT Brubaker,Matt Barnes,Brandon Hughes,Matt Wallner,Chase Silseth,Alec Burleson,Kerry Carpenter,Nolan Jones,Garrett Cooper,Nick Madrigal,Max Meyer,Tony Kemp,Daniel Vogelbach,Jorge Alfaro,Jose Barrero
John Means,Adrian Morejon,Simeon Woods Richardson,Jordan Lyles,Geraldo Perdomo,Endy Rodriguez,Erik Swanson,Dylan Moore,Kyle Garlick,Alex Vesia,Tyler Soderstrom,David Peralta,Josh Smith,Daniel Lynch,Johnny Cueto
Willi Castro,Anthony Volpe,Michael Toglia,Ryan Jeffers,Owen Miller,Keston Hiura,Brandon Crawford,Andrew Painter,Eli Morgan,Kyle Isbel,Jack Leiter,Nick Pratto,Caleb Kilian,Nick Senzel,Cesar Hernandez
Evan Longoria,David Villar,Max Stassi,Louie Varland,Johan Oviedo,Wade Miley,Adam Wainwright,Brandon Pfaadt,Austin Slater,Andre Pallante,Quinn Priester,Matthew Liberatore,Graham Ashcraft,Paul Blackburn,Jonathan Loaisiga
Jose Alvarado,Josh Winder,Eric Hosmer,Dylan Bundy,Austin Voth,Taj Bradley,Trevor Stephan,Michael Massey,Hunter Dozier,LaMonte Wade Jr.,JJ Bleday,Daniel Espino,Raimel Tapia,Jonathan Schoop,Jordan Groshans
Carlos Santana,Otto Lopez,Brennen Davis,Brian Anderson,Matt Vierling,Yuli Gurriel,Zach Jackson,Sam Huff,Bryse Wilson,Elehuris Montero,Jeimer Candelario,Alexander Canario,Ji-Man Choi,Bobby Dalbec,Yusei Kikuchi
Robbie Grossman,Gavin Stone,Sixto Sanchez,Davis Martin,Austin Martin,Chris Martin,Pavin Smith,Kyle Lewis,Bryan Abreu,James McCann,Yency Almonte,Luis Patino,Nelson Velazquez,Jake Odorizzi,Cavan Biggio
Rowan Wick,Trevor Bauer,Orlando Arcia,Max Castillo,Emerson Hancock,Aledmys Diaz,Dermis Garcia,Tom Murphy,Brad Keller,Michael Chavis,Will Smith,Elieser Hernandez,Huascar Ynoa,Jacob Stallings,Ryan Vilade
Mark Melancon,Oscar Colas,Jakob Junis,Sean Bouchard,Cole Winn,Brock Burke,Trayce Thompson,Dany Jimenez,Nicky Lopez,Trevor Rosenthal,Corey Knebel,Jordan Lawlar,Mark Mathias,Michael King,Mike Zunino
Kyle Gibson,Eury Perez,Gavin Williams,Conner Capel,Terrin Vavra,Tanner Bibee,TJ Friedl,Abraham Toro,Jesus Aguilar,Adrian Houser,Nelson Cruz,Will Brennan,Matt Moore,Miguel Andujar,Michael A. Taylor
Martin Maldonado,Brice Turang,Kyle Freeland,Beau Brieske,Tejay Antone,Tyler Wade,Sam Haggerty,Alex Call,Emmanuel Rivera,Christian Arroyo,Hector Neris,Jordan Hicks,Carter Kieboom,Lou Trivino,Dustin Harris
Edmundo Sosa,Ryan Tepera,Yainer Diaz,Alan Trejo,Mark Vientos,Daniel Hudson,Kevin Newman,Andrew Knizner,Chris Flexen,Adam Duvall,Cristian Pache,Jackson Kowar,Griffin Canning,Jake Burger,Freddy Tarnok
Clarke Schmidt,Addison Barger,Gabriel Arias,Reyes Moronta,Diego Castillo,J.P. Feyereisen,Matt Manning,Rougned Odor,Harold Castro,Roberto Perez,Joey Wiemer,Adrian Sampson,Garrett Hampson,Diego Castillo,Reese Olson
Michael Fulmer,Kyle Harrison,Dillon Tate,Joe Jimenez,Austin Barnes,Ken Giles,Kyle Higashioka,Seth Lugo,Tyler Naquin,Rafael Ortega,Nate Pearson,Ezequiel Duran,Mike Brosseau,Nick Allen,Bryan Mata
Yonathan Daza,Lucas Sims,Kendall Graveman,Luis Cessa,Matt Thaiss,Sergio Alcantara,Gordon Graceffo,Edwin Rios,Garrett Crochet,Dominic Smith,Emilio Pagan,Austin Wells,Chris Paddack,Zach Davies,Touki Toussaint
Ian Kennedy,Adam Ottavino,Owen White,Mario Feliciano,Jonathan Hernandez,Shelby Miller,Trevor Williams,Kyle Manzardo,Genesis Cabrera,Donovan Solano,Peyton Burdick,Connor Joe,Estevan Florial,Luis Garcia,Ethan Small
Anthony Bass,Victor Caratini,Wandy Peralta,Nate Eaton,Michael Grove,Garrett Cleavinger,Brooks Raley,Mitch White,Nick Solak,Kirby Yates,Brandon Belt,Matt Strahm,Miguel Sano,Rich Hill,Pedro Leon
Aristides Aquino,Corey Julks,Tyler Gentry,Tyler Alexander,Cole Ragans,Dylan Lee,Zach Thompson,Adam Cimber,Kirby Snead,Joey Lucchesi,Tucker Davidson,Carl Edwards Jr.,Sam Hilliard,Aaron Hicks,Kris Bubic
