Julio Rodriguez,Trea Turner,Aaron Judge,Jose Ramirez,Ronald Acuna Jr.,Shohei Ohtani,Bobby Witt Jr.,Vladimir Guerrero Jr.,Mookie Betts,Kyle Tucker,Gerrit Cole,Juan Soto,Yordan Alvarez,Corbin Burnes,Bryce Harper
Jesus Luzardo,Taylor Ward,Tony Gonsolin,Chris Bassitt,Christian Walker,Luis Urias,Ian Happ,Harrison Bader,Cody Bellinger,Oscar Gonzalez,Max Muncy,Travis d`Arnaud,J.D. Martinez,Jonathan India,Dustin May
Nick Lodolo,Drew Rasmussen,Mitch Haniger,Pablo Lopez,Trey Mancini,Jake Cronenworth,Aroldis Chapman,Thairo Estrada,Gavin Lux,Vaughn Grissom,Jon Gray,Matt Chapman,Anthony Rendon,Keibert Ruiz,Lars Nootbaar
Patrick Sandoval,Jeff McNeil,Jack Flaherty,Brandon Drury,Ramon Laureano,Gregory Soto,Charlie Morton,Jose Miranda,Joc Pederson,Jordan Montgomery,DJ LeMahieu,Jon Berti,Rowdy Tellez,Jose Berrios,Grayson Rodriguez
Bubba Thompson,Ryan McMahon,Christopher Morel,Giovanny Gallegos,Jeffrey Springs,Frankie Montas,Nathan Eovaldi,Luis Arraez,Merrill Kelly,Riley Greene,Alex Verdugo,Miles Mikolas,Shea Langeliers,Josh Bell,Seranthony Dominguez
Taijuan Walker,Andrew Heaney,Brandon Nimmo,Seth Brown,Michael Conforto,Michael Kopech,Andrew Benintendi,Ranger Suarez,Chris Taylor,Brady Singer,Jonah Heim,Bryson Stott,Yasmani Grandal,Myles Straw,Trevor Rogers
Jorge Soler,Andres Munoz,Francisco Alvarez,Sonny Gray,CJ Abrams,Spencer Torkelson,Jorge Lopez,Brendan Donovan,Brandon Marsh,Reid Detmers,Pete Fairbanks,Roansy Contreras,Aaron Ashby,Trent Grisham,Jake Fraley
Bryan De La Cruz,Oswaldo Cabrera,Randal Grichuk,Joey Meneses,Gabriel Moreno,Brendan Rodgers,Bailey Ober,Eric Lauer,Austin Hays,Ha-Seong Kim,Justin Turner,Danny Jansen,Lane Thomas,Jesse Winker,Jarred Kelenic
Josh Jung,Luis Garcia,Taylor Rogers,Ezequiel Tovar,Rafael Montero,Mike Clevinger,Dylan Carlson,Cal Quantrill,Brett Baty,Lourdes Gurriel Jr.,Edward Olivares,James Karinchak,Alex Kirilloff,Tarik Skubal,Mitch Garver
Isaac Paredes,Triston Casas,Jordan Walker,Adam Wainwright,Jose Urquidy,Carlos Carrasco,Tyler Mahle,Marcus Stroman,Tyler Anderson,Anthony Volpe,Adalberto Mondesi,Eduardo Escobar,Hunter Brown,Tylor Megill,Kolten Wong
Jimmy Herget,Aaron Civale,Craig Kimbrel,Jared Walsh,Yandy Diaz,Joey Gallo,Charlie Blackmon,Garrett Mitchell,Alex Cobb,Wilmer Flores,Alek Thomas,Elvis Andrus,Jesus Sanchez,Tanner Houck,Hayden Wesneski
Martin Perez,Elias Diaz,Tommy Pham,Evan Phillips,Juan Yepez,Joey Bart,Gavin Sheets,Manuel Margot,Logan O`Hoppe,Jameson Taillon,Nick Gordon,Edward Cabrera,Mark Melancon,Sean Manaea,Miguel Vargas
Josh Lowe,Enrique Hernandez,Josiah Gray,Ross Stripling,David Robertson,Austin Meadows,Kyle Finnegan,Max Kepler,Jo Adell,Kerry Carpenter,Luke Voit,Drew Waters,Jose Alvarado,Alex Wood,Joey Votto
Gary Sanchez,Steven Matz,Dylan Floro,Cody Morris,Drey Jameson,Josh Donaldson,Garrett Whitlock,Domingo Acevedo,Isiah Kiner-Falefa,Eduardo Rodriguez,Braxton Garrett,Yoan Moncada,Jordan Groshans,Tyler Wells,Marcell Ozuna
Royce Lewis,Kenta Maeda,Christian Vazquez,Eric Haase,Jason Adam,Noah Syndergaard,Francisco Mejia,Brayan Bello,Carson Kelly,Luis Rengifo,J.P. Crawford,Robert Suarez,Jonathan Aranda,Kyle Farmer,Nolan Gorman
Michael Wacha,Jose Siri,Franmil Reyes,Matt Mervis,Harold Ramirez,Mark Canha,Austin Nola,Oswald Peraza,MacKenzie Gore,Brusdar Graterol,Jose Suarez,Jurickson Profar,Brennen Davis,Luis Patino,Avisail Garcia
Vidal Brujan,Spencer Steer,Domingo German,Andrew McCutchen,Santiago Espinal,Jose Barrero,Koudai Senga,Rodolfo Castro,Gio Urshela,Mike Yastrzemski,David Peterson,Jose Quintana,Dylan Moore,Adbert Alzolay,DL Hall
Blake Treinen,Luis Ortiz,Patrick Wisdom,Eddie Rosario,Ryan Jeffers,Bobby Dalbec,Kendall Graveman,Esteury Ruiz,Cole Irvin,Nick Pratto,Justin Steele,Nick Fortes,Mitch Keller,Bo Naylor,Trevor Larnach
David Fletcher,Miguel Andujar,J.D. Davis,Joey Wentz,Mike Soroka,Nick Pivetta,Dean Kremer,Bailey Falter,Christian Bethancourt,Kyle Stowers,Spencer Turnbull,Eric Hosmer,Matt Brash,Jarren Duran,John Means
Taj Bradley,Jose Trevino,Garrett Hampson,Nelson Cruz,Nolan Jones,Leody Taveras,Joey Wendle,Chas McCormick,Tanner Scott,Yan Gomes,Luis Campusano,Oscar Colas,Victor Robles,TJ Friedl,Joe Barlow
Gavin Stone,Kyle Bradish,Ramon Urias,Andrew Painter,A.J. Puk,Ian Anderson,Trayce Thompson,Jack Suwinski,Diego Castillo,Johan Oviedo,James Kaprielian,Matt Moore,Nick Senzel,Garrett Cooper,Brandon Belt
Endy Rodriguez,Graham Ashcraft,Sixto Sanchez,Ji Hwan Bae,Michael Massey,Jonathan Loaisiga,Tyler Naquin,Ryne Nelson,Mickey Moniak,Bryce Elder,Ken Waldichuk,A.J. Minter,Nick Martinez,Jeimer Candelario,AJ Pollock
Kyle Lewis,Brandon Crawford,Corey Knebel,David Villar,Cade Cavalli,Yuli Gurriel,Tyrone Taylor,Josh Smith,LaMonte Wade Jr.,Bryan Abreu,Kyle Higashioka,Gabriel Arias,Geraldo Perdomo,Elehuris Montero,Zach Eflin
Wil Myers,Chris Martin,Omar Narvaez,John Schreiber,Anthony DeSclafani,Johnny Cueto,Keegan Thompson,Reese McGuire,Bobby Miller,Will Brennan,German Marquez,Jonathan Schoop,Kyle Harrison,Tyler Freeman,Zach Plesac
Adam Duvall,Michael A. Taylor,Corey Kluber,Kyle Hendricks,Jonathan Hernandez,Michael Lorenzen,Nate Pearson,Paul Blackburn,Akil Baddoo,Dylan Coleman,Michael King,Reyes Moronta,Sam Huff,Cavan Biggio,Matt Barnes
Nelson Velazquez,Clarke Schmidt,Will Smith,Matt Carpenter,Tony Kemp,Simeon Woods Richardson,Dany Jimenez,Adrian Morejon,Max Stassi,Trevor Williams,Kutter Crawford,Zac Veen,Ezequiel Duran,Kyle Muller,Jake Burger
Taylor Walls,Drew Smyly,Robbie Grossman,JP Sears,Nick Maton,Adam Frazier,Cole Sulser,Glenn Otto,Ryan Pepiot,Raimel Tapia,Brandon Pfaadt,Jakob Junis,Keston Hiura,Hunter Dozier,Yusei Kikuchi
Matt Manning,JT Brubaker,Hyun Jin Ryu,Brandon Hughes,Eury Perez,Mike Zunino,Lucas Sims,Michael Toglia,Zach McKinstry,Diego Cartaya,Brian Anderson,Christian Arroyo,Yainer Diaz,Michael Brantley,Austin Voth
Edwin Rios,Miguel Rojas,Andrew Kittredge,Stephen Strasburg,Mark Vientos,Austin Wells,Jorge Alfaro,Livan Soto,Daniel Hudson,Jordan Lyles,Marco Gonzales,Andre Pallante,Kyle Manzardo,Nick Madrigal,Jeremiah Estrada
Michael Busch,Dermis Garcia,Lou Trivino,Brooks Raley,Sean Bouchard,Miguel Sano,Kevin Plawecki,Louie Varland,JJ Bleday,Aledmys Diaz,Conner Capel,Cal Mitchell,Pedro Leon,Daniel Lynch,Addison Barger
Cole Winn,Joe Jimenez,Nicky Lopez,Darick Hall,Alex Vesia,Cristian Pache,Colton Welker,Josh Winder,Jordan Lawlar,Kyle Freeland,Hunter Harvey,Daniel Vogelbach,Jorge Alcala,Hector Neris,Sal Frelick
Austin Martin,David Peralta,Frank Schwindel,Charles Leblanc,Willi Castro,Joey Wiemer,Luis Gonzalez,Ricky Tiedemann,Jake Odorizzi,Michael Grove,Danny Duffy,Erik Swanson,Stone Garrett,Leury Garcia,Jose Iglesias
Ryan Yarbrough,Chase Silseth,Jake McGee,Edouard Julien,Chris Flexen,Touki Toussaint,Jace Peterson,Brice Turang,Connor Joe,Luis Cessa,Connor Wong,Yonathan Daza,Brendon Davis,Matt Vierling,Davis Martin
Elly De La Cruz,Ryan Tepera,Jonathan Villar,James Paxton,Aristides Aquino,Paul DeJong,Corey Dickerson,Dylan Bundy,Carlos Estevez,Francisco Morales,Matthew Boyd,Matthew Liberatore,Jared Koenig,Caleb Kilian,Wade Miley
Yonny Chirinos,Nate Eaton,Huascar Ynoa,Cesar Hernandez,Yimi Garcia,Jackson Kowar,Ben Gamel,Beau Brieske,Edmundo Sosa,Kyle Gibson,Garrett Cleavinger,Michael Fulmer,Abraham Toro,Austin Barnes,Cooper Hummel
Tom Murphy,Brian Serven,Trevor Bauer,Jacob Stallings,Alec Burleson,Austin Hedges,Dane Dunning,Andrew Knizner,Matt Thaiss,Ivan Herrera,Maikel Garcia,James McCann,Ryan Weathers,Jordan Westburg,Garrett Crochet
Moises Gomez,Shelby Miller,Casey Mize,Andrew Chafin,Adam Ottavino,Ryan Vilade,Carter Kieboom,Javier Assad,Dinelson Lamet,Diego Castillo,Tejay Antone,Bryse Wilson,Dustin Harris,Alex Call,Will Benson
Jake Meyers,Adrian Martinez,Jesus Aguilar,Harold Castro,Wynton Bernard,Colton Cowser,Donovan Solano,Pavin Smith,Rowan Wick,Tommy Kahnle,Luis Garcia,P.J. Higgins,Ryan Feltner,Robert Stephenson,Kris Bubic
Griffin Canning,Matt Wallner,Ken Giles,Rougned Odor,Martin Maldonado,Liover Peguero,Orlando Arcia,Bryan Garcia,Hunter Strickland,Brock Burke,Kyle Isbel,Cam Robinson,Gavin Williams,Wil Crowe,Calvin Faucher
Evan White,Adrian Sampson,Yadier Molina,Josh Harrison,Reynaldo Lopez,Tucker Davidson,Brent Honeywell Jr.,Cole Ragans,Austin Slater,Jack Leiter,Jordan Diaz,Dillon Tate,Niko Goodrum,Brandon Williamson,Reese Olson
