Julio Rodriguez,Trea  Turner,Jose  Ramirez,Ronald  Acuna Jr.,Aaron  Judge,Shohei  Ohtani,Kyle  Tucker,Yordan  Alvarez,Juan  Soto,Bobby  Witt Jr.,Corbin  Burnes,Vladimir  Guerrero Jr.,Bryce  Harper,Manny  Machado,Gerrit  Cole
Harrison  Bader,Oscar  Gonzalez,Tony  Gonsolin,Pablo  Lopez,Mitch  Haniger,Chris  Sale,Jake  Cronenworth,Brandon  Lowe,Paul  Sewald,Alec  Bohm,Chris  Bassitt,Jose  Miranda,Luis  Arraez,Riley  Greene,Jordan  Montgomery
Alex  Verdugo,Dustin  May,Lance  McCullers Jr.,Ryan  McMahon,Jonathan  India,Cody  Bellinger,Vaughn  Grissom,Luis  Garcia,Brady  Singer,Brandon  Nimmo,Jean  Segura,Keibert  Ruiz,Whit  Merrifield,Edward  Cabrera,Charlie  Morton
Andres  Munoz,Jeff  McNeil,Seth  Brown,Ramon  Laureano,Jordan  Walker,Frankie  Montas,Joey  Meneses,Ketel  Marte,Taylor  Rogers,Jose  Leclerc,Josh  Bell,Luis  Rengifo,Brandon  Drury,Thairo  Estrada,Jon  Gray
Seranthony  Dominguez,Grayson  Rodriguez,J.D.  Martinez,Bryan  De La Cruz,Josh  Jung,Josh  Naylor,Patrick  Sandoval,Travis  d`Arnaud,Alex  Kirilloff,Koudai  Senga,Danny  Jansen,Pete  Fairbanks,Jack  Flaherty,Christopher  Morel,Kolten  Wong
Jarred  Kelenic,Aroldis  Chapman,Andrew  Benintendi,Bryson  Stott,Reid  Detmers,Jonah  Heim,Spencer  Torkelson,Francisco  Alvarez,Austin  Meadows,Brendan  Rodgers,Miles  Mikolas,Aaron  Ashby,Lars  Nootbaar,Joc  Pederson,Triston  Casas
Austin  Hays,Charlie  Blackmon,Bailey  Ober,Randal  Grichuk,Kyle  Finnegan,Luis  Urias,Adalberto  Mondesi,Trevor  Rogers,Shea  Langeliers,Hayden  Wesneski,Nick  Gordon,Franmil  Reyes,Jose  Berrios,DJ  LeMahieu,Esteury  Ruiz
Eric  Haase,CJ  Abrams,Rafael  Montero,Sonny  Gray,Andrew  Heaney,Taijuan  Walker,Lourdes  Gurriel Jr.,Luke  Voit,Garrett  Mitchell,Ezequiel  Tovar,Jorge  Lopez,Drey  Jameson,Manuel  Margot,Roansy  Contreras,Nathan  Eovaldi
Gavin  Lux,Lane  Thomas,Jon  Berti,Tyler  Mahle,Brandon  Marsh,Michael  Conforto,Bubba  Thompson,Eric  Lauer,Braxton  Garrett,Jorge  Soler,Matt  Mervis,Brandon  Hughes,Anthony  Rendon,Juan  Yepez,Alex  Cobb
Giovanny  Gallegos,Ha-Seong  Kim,Jameson  Taillon,Yoan  Moncada,Logan  O`Hoppe,Michael  Kopech,Yasmani  Grandal,Merrill  Kelly,Tanner  Houck,Marcell  Ozuna,Yandy  Diaz,Oswald  Peraza,Trent  Grisham,Tyler  Anderson,Hunter  Brown
Ranger  Suarez,Tylor  Megill,Jared  Walsh,Avisail  Garcia,Kenta  Maeda,Jesse  Winker,Mitch  Keller,Trey  Mancini,Patrick  Wisdom,Bo  Naylor,Domingo  Acevedo,Eduardo  Rodriguez,Jake  Fraley,Marcus  Stroman,Luis  Garcia
Jesus  Sanchez,Edward  Olivares,Jose  Urquidy,Chris  Taylor,Mark  Canha,Cal  Quantrill,Luis  Ortiz,Dylan  Carlson,Oswaldo  Cabrera,Justin  Steele,Tommy  Pham,Garrett  Whitlock,Sean  Manaea,Elias  Diaz,Gary  Sanchez
Brayan  Bello,Rodolfo  Castro,Christian  Vazquez,Alex  Wood,Gabriel  Moreno,Miguel  Vargas,Josiah  Gray,Jurickson  Profar,Mike  Clevinger,Jose  Suarez,Elvis  Andrus,Nick  Senzel,MacKenzie  Gore,Jose  Trevino,Austin  Nola
Gio  Urshela,Nick  Fortes,Joey  Bart,Eduardo  Escobar,Justin  Turner,Cody  Morris,Nick  Pivetta,Jason  Adam,Dylan  Floro,Max  Kepler,Will  Brennan,Craig  Kimbrel,Carlos  Carrasco,Alek  Thomas,Jose  Siri
Jose  Quintana,David  Peterson,Tyrone  Taylor,Steven  Matz,Mitch  Garver,Martin  Perez,Joey  Gallo,Anthony  Volpe,Jake  Burger,Adbert  Alzolay,Ken  Waldichuk,Nolan  Gorman,David  Robertson,JP  Sears,DL  Hall
Christian  Bethancourt,James  Karinchak,Wilmer  Flores,Aaron  Civale,Jimmy  Herget,Tyler  Wells,Ryan  Pepiot,Isaac  Paredes,Ian  Anderson,Michael  Wacha,Noah  Syndergaard,Jo  Adell,Ross  Stripling,Adam  Wainwright,Brendan  Donovan
Mike  Yastrzemski,Michael  Massey,Ramon  Urias,Joey  Votto,Jack  Suwinski,Drew  Waters,Gavin  Stone,Corey  Kluber,Nolan  Jones,Robert  Suarez,J.D.  Davis,Keston  Hiura,Harold  Ramirez,Andrew  McCutchen,Kyle  Harrison
Taj  Bradley,Kerry  Carpenter,Evan  Phillips,Brandon  Pfaadt,Tarik  Skubal,Joey  Wentz,Vidal  Brujan,Brandon  Crawford,Ryan  Jeffers,Royce  Lewis,Leody  Taveras,Drew  Smyly,Josh  Lowe,Matt  Manning,TJ  Friedl
Spencer  Turnbull,Kyle  Bradish,Kyle  Farmer,Michael  Brantley,Sixto  Sanchez,Reese  McGuire,Jarren  Duran,Joey  Wendle,Zach  Eflin,Francisco  Mejia,Domingo  German,Carson  Kelly,Enrique  Hernandez,Tony  Kemp,Yan  Gomes
Bobby  Dalbec,Mike  Soroka,Jonathan  Schoop,Andrew  Painter,Bryce  Elder,Taylor  Walls,Kyle  Muller,Michael  Toglia,Kyle  Isbel,Trevor  Larnach,Dean  Kremer,Elly  De La Cruz,Brett  Baty,Rafael  Ortega,Myles  Straw
JT  Brubaker,Omar  Narvaez,AJ  Pollock,Anthony  DeSclafani,Daniel  Espino,Victor  Robles,German  Marquez,Spencer  Steer,Luis  Patino,Ryne  Nelson,Garrett  Cooper,Dylan  Coleman,Chas  McCormick,Zach  Plesac,Bailey  Falter
Diego  Castillo,Cole  Irvin,Cade  Cavalli,Michael  Lorenzen,Masataka  Yoshida,Josh  Smith,Jorge  Alcala,A.J.  Puk,Dylan  Moore,Yuli  Gurriel,LaMonte  Wade Jr.,Raimel  Tapia,J.P.  Crawford,Gavin  Sheets,Kyle  Stowers
Sal  Frelick,Ji Hwan  Bae,Wil  Myers,Dany  Jimenez,Brandon  Belt,Austin  Martin,Eddie  Rosario,Matt  Brash,Glenn  Otto,David  Villar,Marco  Gonzales,Isiah  Kiner-Falefa,Matt  Carpenter,Jace  Peterson,Keegan  Thompson
Kutter  Crawford,Nick  Pratto,John  Schreiber,Connor  Norby,Eury  Perez,David  Fletcher,Sam  Hilliard,Johnny  Cueto,Jose  Barrero,Oscar  Colas,Bobby  Miller,Kyle  Hendricks,Luis  Campusano,Santiago  Espinal,A.J.  Minter
Jeimer  Candelario,Elehuris  Montero,Graham  Ashcraft,Lucas  Sims,Drew  Rucinski,Nelson  Velazquez,Kyle  Manzardo,Nick  Madrigal,Reyes  Moronta,Blake  Treinen,Endy  Rodriguez,Stone  Garrett,Akil  Baddoo,JJ  Bleday,Miguel  Andujar
Daniel  Hudson,Johan  Oviedo,Bryan  Abreu,Miguel  Rojas,Manuel  Rodriguez,Adrian  Morejon,Beau  Brieske,Zach  McKinstry,Chris  Flexen,Eric  Hosmer,James  Kaprielian,Corey  Julks,Josh  Donaldson,Matt  Vierling,Conner  Capel
Yonathan  Daza,Curtis  Mead,Alec  Burleson,Chris  Martin,Michael  Busch,Corey  Dickerson,Andrew  Knizner,Jakob  Junis,Pavin  Smith,Matt  Barnes,Kyle  Gibson,Jorge  Alfaro,Jose  Alvarado,Mickey  Moniak,Jeremiah  Estrada
Ezequiel  Duran,Darick  Hall,Dane  Dunning,Brian  Anderson,Gordon  Graceffo,Ricky  Tiedemann,Nicky  Lopez,Aledmys  Diaz,Nick  Martinez,Nate  Eaton,Jordan  Lyles,Connor  Brogdon,Brusdar  Graterol,Martin  Maldonado,Josh  Winder
Victor  Caratini,Simeon  Woods Richardson,Trayce  Thompson,Wade  Miley,Zach  Jackson,Ryan  Tepera,Cooper  Hummel,Hunter  Dozier,Travis  Swaggerty,Trevor  Bauer,Jose  Iglesias,Alex  Vesia,John  Means,Cole  Winn,Josh  Harrison
Brice  Turang,Austin  Slater,Alan  Trejo,Adam  Duvall,Sean  Bouchard,Matthew  Liberatore,Moises  Gomez,Nate  Pearson,Bryan  Garcia,Jonathan  Aranda,Adam  Frazier,Willi  Castro,Joe  Barlow,Kyle  Freeland,Evan  Longoria
Matthew  Boyd,Joe  Jimenez,Chase  Silseth,Jacob  Stallings,Miguel  Sano,Jake  Meyers,Paul  Blackburn,Max  Stassi,Sam  Huff,Tejay  Antone,Kyle  Lewis,Tanner  Scott,Jonathan  Loaisiga,Clarke  Schmidt,Jake  Odorizzi
Erik  Swanson,Ivan  Herrera,Livan  Soto,Brennen  Davis,Andrew  Velazquez,Caleb  Kilian,Madison  Bumgarner,Daniel  Lynch,Nick  Gonzales,Tyler  Naquin,Matt  Moore,Eguy  Rosario,Mark  Melancon,Joe  Mantiply,Adrian  Sampson
Carter  Kieboom,Davis  Martin,George  Valera,Yonny  Chirinos,Edouard  Julien,Mark  Vientos,Austin  Voth,Nelson  Cruz,Geraldo  Perdomo,Hector  Neris,Diego  Castillo,Jay  Groome,Kendall  Graveman,Eli  Morgan,Yusei  Kikuchi
J.P.  Feyereisen,Andrew  Chafin,Michael  Fulmer,Mike  Zunino,Chad  Pinder,Dinelson  Lamet,Edwin  Rios,Jordan  Hicks,James  Outman,Bryan  Mata,Harold  Castro,Brock  Burke,James  Paxton,Daniel  Vogelbach,Christian  Arroyo
Carl  Edwards Jr.,Louie  Varland,Jonathan  Hernandez,Robbie  Grossman,Addison  Barger,Cavan  Biggio,Edmundo  Sosa,James  McCann,Jordan  Groshans,Tyler  Soderstrom,Paolo  Espino,Zack  Greinke,Connor  Joe,Michael  King,Matt  Bush
Brooks  Raley,Tanner  Bibee,P.J.  Higgins,Colton  Cowser,Nick  Ahmed,Mason  Montgomery,Rowan  Wick,Trevor  Rosenthal,Andre  Pallante,Shelby  Miller,Lou  Trivino,Luis  Gonzalez,Aristides  Aquino,Rich  Hill,Zack  Gelof
Connor  Thomas,Jared  Shuster,Carlos  Estevez,Cal  Mitchell,Sam  Haggerty,Griffin  Canning,Michael A.  Taylor,Jesus  Aguilar,Cesar  Hernandez,Joey  Wiemer,Yainer  Diaz,Garrett  Hampson,Corey  Knebel,Emerson  Hancock,Hunter  Harvey
Austin  Barnes,Jack  Leiter,Robert  Hassell,Ji-Man  Choi,Alex  Lange,Paul  DeJong,Michael  Grove,Keegan  Akin,Brad  Hand,Otto  Lopez,Dillon  Tate,Pedro  Severino,Trevor  Stephan,Kyle  Higashioka,Mike  Brosseau
Reynaldo  Lopez,Logan T.  Allen,Wilmer  Flores,Jordan  Lawlar,Gavin  Williams,Vimael  Machin,Austin  Wells,Kris  Bubic,Jake  Rogers,Pedro  Leon,Will  Smith,Owen  White,Emmanuel  Rivera,Mike  Baumann,Sergio  Alcantara
Griff  McGarry,Chris  Paddack,Bryce  Miller,Zach  Davies,David  Hensley,Cal  Stevenson,Freddy  Tarnok,Spencer  Howard,Yency  Almonte,Garrett  Crochet,Jake  Eder,Kevin  Ginkel,Quinn  Priester,Hyun Jin  Ryu,Trevor  Williams
